Zaman,Hisse,Fiyat,%Değişim
2026-07-09 15:13:52.917497,VESBE,6.039999961853027,
2026-07-09 15:13:53.218499,ENJSA,103.80000305175781,
2026-07-09 15:13:53.506218,FROTO,80.6500015258789,
2026-07-09 15:13:53.760288,TUPRS,263.5,
2026-07-09 15:13:54.048553,PETUN,11.279999732971191,
2026-07-09 15:13:54.411659,EREGL,40.060001373291016,
2026-07-09 15:13:54.573997,AKSA,11.6899995803833,
2026-07-09 15:13:54.767468,ISMEN,34.70000076293945,
2026-07-09 15:13:55.091615,DOAS,182.3000030517578,
2026-07-09 15:13:55.403558,ANHYT,97.6500015258789,
2026-07-09 15:13:55.531196,MAVI,38.18000030517578,
2026-07-09 15:13:55.660163,AVPGY,54.45000076293945,
2026-07-09 15:13:55.831710,LILAK,32.34000015258789,
2026-07-09 15:13:56.219292,BASGZ,46.119998931884766,
2026-07-09 15:13:56.498722,ULKER,97.0999984741211,
2026-07-09 15:19:10.047838,VESBE,6.039999961853027,
2026-07-09 15:19:10.167619,ENJSA,103.80000305175781,
2026-07-09 15:19:10.318394,FROTO,80.69999694824219,
2026-07-09 15:19:10.563369,TUPRS,263.75,
2026-07-09 15:19:10.717834,PETUN,11.270000457763672,
2026-07-09 15:19:10.889275,EREGL,40.040000915527344,
2026-07-09 15:19:11.076999,AKSA,11.6899995803833,
2026-07-09 15:19:11.217029,ISMEN,34.68000030517578,
2026-07-09 15:19:11.365028,DOAS,182.39999389648438,
2026-07-09 15:19:11.522503,ANHYT,97.55000305175781,
2026-07-09 15:19:11.691958,MAVI,38.18000030517578,
2026-07-09 15:19:11.799809,AVPGY,54.400001525878906,
2026-07-09 15:19:11.908023,LILAK,32.279998779296875,
2026-07-09 15:19:12.031440,BASGZ,46.060001373291016,
2026-07-09 15:19:12.193541,ULKER,97.05000305175781,
2026-07-09 20:59:27.696793,VESBE,6.039999961853027,
2026-07-09 20:59:27.840225,ENJSA,104.0,
2026-07-09 20:59:28.001511,FROTO,80.8499984741211,
2026-07-09 20:59:28.184350,TUPRS,264.25,
2026-07-09 20:59:28.381440,PETUN,11.260000228881836,
2026-07-09 20:59:28.608903,EREGL,40.060001373291016,
2026-07-09 20:59:28.770944,AKSA,11.680000305175781,
2026-07-09 20:59:28.908311,ISMEN,34.619998931884766,
2026-07-09 20:59:29.068405,DOAS,182.0,
2026-07-09 20:59:29.215845,ANHYT,97.55000305175781,
2026-07-09 20:59:29.355069,MAVI,38.15999984741211,
2026-07-09 20:59:29.458328,AVPGY,54.20000076293945,
2026-07-09 20:59:29.553857,LILAK,32.279998779296875,
2026-07-09 20:59:29.662129,BASGZ,46.619998931884766,
2026-07-09 20:59:29.817792,ULKER,97.30000305175781,
2026-07-10 08:53:09.038984,VESBE,6.639999866485596,
2026-07-10 08:53:09.205198,ENJSA,105.0999984741211,
2026-07-10 08:53:09.408387,FROTO,81.25,
2026-07-10 08:53:09.635720,TUPRS,266.0,
2026-07-10 08:53:09.838636,PETUN,11.380000114440918,
2026-07-10 08:53:10.037873,EREGL,40.81999969482422,
2026-07-10 08:53:10.196771,AKSA,11.75,
2026-07-10 08:53:10.323050,ISMEN,34.880001068115234,
2026-07-10 08:53:10.566001,DOAS,184.3000030517578,
2026-07-10 08:53:10.777711,ANHYT,98.1500015258789,
2026-07-10 08:53:10.940642,MAVI,39.08000183105469,
2026-07-10 08:53:11.031675,AVPGY,54.650001525878906,
2026-07-10 08:53:11.115735,LILAK,32.65999984741211,
2026-07-10 08:53:11.234429,BASGZ,46.58000183105469,
2026-07-10 08:53:11.435975,ULKER,97.9000015258789,
2026-07-10 16:38:19.984027,VESBE,6.639999866485596,
2026-07-10 16:38:20.788835,ENJSA,104.0,
2026-07-10 16:38:20.961123,FROTO,81.80000305175781,
2026-07-10 16:38:21.201302,TUPRS,267.0,
2026-07-10 16:38:21.364602,PETUN,11.34000015258789,
2026-07-10 16:38:21.560498,EREGL,40.400001525878906,
2026-07-10 16:38:21.835359,AKSA,11.760000228881836,
2026-07-10 16:38:21.981188,ISMEN,34.86000061035156,
2026-07-10 16:38:22.140019,DOAS,186.0,
